Key,german
Rifledesc,Ein automatisches Sturmgewehr, das dir in verzweifelten Situationen helfen kann."\n\n\n"
GrenadeLauncher,Granatenwerfer
RocketLauncher,Raketenwerfer
Launcherdesc,"Forest Speyers Lieblingswaffe. Eine zerstörerische Waffe, versuch dich nicht selbst in die Luft zu jagen, okay? Kann mit 3 verschiedenen Arten von Granaten geladen werden: Granate, Säure und Brandsatz."
DestroyedRocketLauncher,Zerstörter Raketenwerfer
Launcher2desc,"Unwiederbringlich zerstört, hoppla!"
QuadRocketLauncher,Vierfacher Raketenwerfer
MilitaryGoods,Militärgüter
MilitaryGoodsdesc,"Eine militärische Ausrüstung, die Sie in einem geheimen Schrank gefunden haben."
BulletProofVest,Kugelsichere Westen
Vestdesc,Diese Schutzweste mindert den Schaden um 25%.\nStapelt sich mit Schmerztoleranz.
Bandolier,Patronengürtel
Bandolierdesc,"Wenn du ihn trägst, verringert sich deine Nachladezeit um 40% und du erleidest keinen Mobilitätsnachteil mehr beim Nachladen."
armorJillClothingDesc,"Standard S.T.A.R.S Uniform.\n\nSie schützt dich nicht vor Schaden, aber vor Hitze und Kälte."
armorJillOutfit,Jill's Uniform
armorJillGloves,Jill's Handschuhe
armorJillBoots,Jill's Stiefel
modGunSoundSuppressorSilencerRE,Schalldämpfer
SuppressorDesc,"Wenn du diesen Schalldämpfer an deiner Handfeuerwaffe anbringst, vervierfachst du deine kritische Trefferquote.\nErhöht nicht den Schaden.\n\nWirkt nicht bei starken Gegnern.\n\n\n"
modMeleeSerratedBladeRE,Gezahnte Klinge
SerratedBladeDesc,"Diese Messer-Mod erhöht die Zerlegungschance um 40%.\n\n(Erhöht nicht den Schaden)"
apparelToughGuySunglasses,Wesker's Sonnenbrille
ammo9mmBulletBallRE,9x19mm Parabellum Kugel
ammo9mmBulletHPRE,HiPower 9x19mm Parabellum Kugel
ammo44MagnumBulletBallRE,.357 Magnum Kugel
ammo44MagnumBulletHPRE,HiPower .357 Magnum Kugel
ammo762mmBulletBallRE,7.62 Gewehrkugel
ammo762mmBulletHPRE,HiPower 7.62 Gewehrugel
ammoShotgunShellRE,Schrotpatronen Kaliber 12
ammoShotgunSlugRE,Schrotpatronen
ammoRocketHERE,Anti-Tyrann Fragmentierungsrakete
ammoRocketFragRE,Fragmentierungsrakete
ammoGrenadeExplosiveRE,Granatengeschoss
GrenadeExplosiveDesc,"Ein Geschosstyp für den Granatwerfer, der eine erhöhte Chance hat, Verstümmelungen zu verursachen."
ammoGrenadeAcidRE,Säurekugel
GrenadeAcidDesc,"Eine Art von Geschoss für den Granatwerfer, das mit Schwefelsäure gefüllt ist.\n\nVerursacht massiven Schaden an lebenden Zielen."
ammoGrenadeFlameRE,Brandgranate
GrenadeFlameDesc,"Eine Art von Geschoss für den Granatwerfer, das alles in Brand setzt.\n\nKann helfen, die Wiederauferstehung von Scharlachroten Köpfen zu verhindern."
statEntityDamageExplosionLiving,"+ Explosionsschaden (Jäger, Spinne, Tyrann)"
statEntityDamageRangedImpactLiving,"+ Impact Damage (Jäger, Spinne, Tyrann)"
statEntityDamageExplosionSpider,"Explosion Damage (Spinne, Pflanze)"
statEntityDamageRangedImpactSpider,"Impact Damage (Spinne, Pflanze)"
thrownGrenadeRE,Klebrige Handgranate
GrenadeDesc,"Diese Granate haftet an allem, wenn sie geworfen wird."
Kerosene,Kerosin
Kerosenedesc,"Eine brennbare Flüssigkeit, mit der ich einen Molotow machen kann. Ich brauche etwas, um sie anzuzünden."
thrownAmmoMolotovCocktailRE,Molotow Cocktail
MolotovDesc,"Alles, was zu Tode brennt, wird nie wieder lebendig!\n\nZum Anzünden ist ein Feuerzeug erforderlich."
perkEnforcerHPAmmoDesc,Du kannst HiPower .357 Magnum-Muni herstellen.
perkEnforcerHPAmmoLongDesc,Die stärkste Handfeuerwaffe der Welt ist jetzt noch stärker. Du kannst HiPower .357 Magnum-Muni herstellen.

plantedRedHerb1,Rotes Kraut (Samen)
plantedBlueHerb1,Blaues Kraut (Samen)
plantedRedHerb2,Rotes Kraut (Wächst)
plantedBlueHerb2,Blaues Kraut (Wächst)
plantedRedHerb3Harvest,Rotes Kraut
plantedBlueHerb3Harvest,Blaues Kraut
plantedRedHerb3HarvestPlayer,Rotes Kraut
plantedBlueHerb3HarvestPlayer,Blaues Kraut
buffInvincibilityFramesName,Zeitweise Unbesiegbar
buffInvincibilityFramesDesc,Unbesiegbarkeitsrahmen
buffPerfectHerbMixName,Perfekte Kräuter-Mischung
buffPerfectHerbMixDesc,"Die Kräutermischung aus Grün, Rot und Blau hat dir vorübergehend eine Resistenz gegen Schmerzen verliehen.\n\nSchadensminderung: 30%"
buffYellowHerbName,Gelbes Kraut
buffYellowHerbDesc,"Du hast ein Gelbes Kraut eingenommen, ein wundersames Kraut, das deine Konstitution gestärkt hat.\n\nMaximale HP +600.\nDeine HP erholt sich auf natürliche Weise alle 12 Sekunden um 1."
buffPoisonedName,Vergiftet!
buffPoisonedDesc,Du bist vergiftet und nimmst langsam Schaden.\n\nVerwende ein blaues Kraut, um dich zu entgiften.
buffPoisonedTooltip,Du bist vergiftet worden!
buffDeathTooltip,[FF4F00]Von Jill Valentine wurde nie wieder etwas gehört...[-]
buffDeadlyPoisonedName,Game Over!
buffDeadlyPoisonedDesc,Von Jill Valentine wurde nie wieder etwas gehört
buffTarnishedIntegrityName,Beeinträchtigte Integrität
buffTarnishedIntegrityDesc,"Du musstest es einfach tun, nicht wahr? \n\nIch habe die Beleuchtung aus ästhetischen Gründen ausgeglichen und ein Feuerzeug bereitgestellt, damit du etwas sehen kannst.\n\nLetztendlich hast du dich selbst um die geplante Erfahrung betrogen."
questStartup_offer,Aufgabe
questStartup_desc,"Es ist Juli 1998, du bist Jill Valentine, Mitglied des S.T.A.R.S Alpha Teams. Dein Team wurde losgeschickt, um das Verschwinden des Bravo Teams zu untersuchen, nachdem du den Kontakt zu ihnen verloren hast.\n\nDein Team flog über das Waldgebiet in den Arklay Mountains und entdeckte einen abgestürzten Hubschrauber.\nDer Hubschrauber gehört zum Bravo Team und alle sind tot. Dein Team wird von bösartigen Hunden angegriffen und durch den Wald gejagt, du siehst ein Herrenhaus in der Ferne und rufst es deinem Team zu und ihr brecht alle dorthin auf!\n\nIhr seid jetzt drinnen gefangen, es ist draußen viel zu gefährlich!"
BookOfCurses_offer,"Die vier Masken.\n\nEine Maske, die kein Böses spricht...\nEine Maske, die kein Böses riecht...\nEine Maske, die kein Böses sieht...\nEine Maske, die weder sprechen, riechen noch sehen kann... \n\nWenn alle vier an ihrem Platz sind, wird das Böse erwachen.\n\n\nDu siehst einen Schlüssel, er ist eingelassen auf der Rückseite, willst du ihn entfernen?"
Quest_SwordKey_tip_title,Beschädigter Schlüssel
Quest_SwordKey_tip,"Als du den Schlüssel entfernst, rutscht er dir aus der Hand und fällt auf den Boden. Du bemerkst, dass er nun einen Riss hat und leicht brechen könnte."
DogWhistle_offer,"Heute sagte mir Herr Spencer, ich solle etwas verstecken, wo niemand es finden kann.\n\nNun, ich hatte diese Idee, ich dachte, wenn ich es irgendwie durch ein gefährliches Tier wie den bösartigen Hund, der hier lebt, beschützt lassen kann, würde niemand sich ihm nähern können!\n\nSoweit ich das beurteilen kann, hält sich der Köter immer auf dem Balkon im zweiten Stock auf der Westseite der Terrasse auf und er sollte auf das Geräusch einer Hundepfeife anspringen.\n\nHier kommst du ins Spiel. Die Sache ist, ich denke, du bist die einzige Person, die sich diesem verdammten Hund nähern kann, ohne sich einer ernsthaften Maulerei auszusetzen.\n\nDas bedeutet, nur du kannst ihm dieses Halsband anlegen. Das Objekt, das Herr Spencer versteckt haben will, ist darin verborgen.\n\nDu bist die einzige Person, der ich das zutrauen würde. Natürlich wirst du auch etwas davon haben. Erinnerst du dich an dieses bestimmte Objekt, das du immer haben wolltest?\n\nNun, im Austausch für deine Dienste könnte ich es dir vielleicht besorgen. Das könnte für uns beide von Vorteil sein...\n\nJon Toleman."
JillLockpick,Mit ihrem Dietrichset ist Jill die Meisterin im Öffnen.
FilesDesc,Du kannst diese Notiz in deiner Questliste lesen.
modMeleeErgonomicGripRE,Ergonomischer Griff
KnifeGripDesc,"Verringert den Ausdauerverbrauch für normale Angriffe um 3 und den Ausdauerverbrauch für Schwere Angriffe um 6.\n\n\n"
modGunFlashlightRE,Waffenlampe
modMeleeWeightedHeadRE,Beschwerter-Kopf-Mod
WeightedHeadDesc,"Eine Modifikation für dein Messer.\nErhöht die Chance, Opfer zu betäuben und zu verlangsamen, um 20%.\n\n\n"
SamuraiEdgeParts,Samurai Randteile
SamuraiEdgeDesc,"Spezielle Teile, die die Feuerrate drastisch erhöhen und einen 3-Schuss-Stoß ermöglichen.\n\nInsgesamt ist deine Handfeuerwaffe leichter zu handhaben.\n\n\n"
AssaultShotgunParts,Schrotflinte Teile
AssaultShotgunDesc,"Ein S.T.A.R.S. Spezialarsenal und auch Richards Favorit.\n\nFasst 10 Schuss. Hat eine engere Streuung. Größere Reichweite und schnellere Feuerrate. Aber langsamere Nachladegeschwindigkeit.\n\n\n"
MagnumSpeedloader,Magnum Schnelllader
MagnumSpeedloaderDesc,"Dadurch wird das Nachladen um 33 % beschleunigt und die Handhabung des Revolvers insgesamt erleichtert.\n\n\n"
AK-47MuzzleBrake,AK-47 Mündungsbremse
MuzzleBreakDesc,"Macht das Sturmgewehr genauer und insgesamt leichter zu handhaben.\n\n\n"
modGunMeleeBlessedMetalTyrant,T-Virus Neutralisator
modGunMeleeBlessedMetalTyrantDesc,"Erhöht den Schaden am Tyrannen erheblich\n\nNur Messer.\n\n\n"
modGunMeleeBlessedMetalPlant,V-Jolt Chemikalien
modGunMeleeBlessedMetalPlantDesc,"Tränke dein Messer in V-Jolt, um Pflanze 42 zusätzlichen Schaden zuzufügen.\n\n\n"
drugBoulderBusters,"Chris Redfield hat es heimlich in seinem Eiweißshake.\n\nErhöht den Schaden durch Schlägereien um 400%.\nStapelt sich mit Schädelbrecher und Bier!"
drugBoulderBustersDesc,"Dein Schaden durch Schlägereien wird um 400% erhöht.\nStapelt sich mit Schädelbrecher und Bier!"
drugRockBusters,Felsbrocken Buster!
SuperGogglesDesc,Diese bösen Jungs werden dich davor bewahren, ein Jill Eintopf zu werden.\n\n\nStandhaftigkeit +2\nBeweglichkeit +2.\nHerstellungszeit -40%.
Note from Barry,Notiz von Barry
BarryNote,"Jill, Ich habe dir ein paar Vorräte dagelassen.\n\nBarry"
Jill Sandwich,Jill Eintopf
JillSandwichDesc,Du warst fast ein Jill-Eintopf
Watch your step,Vorsicht, Stufe!
PuzzleDesc,Nach Süden ausgerichtet. \n\nNebeneinander ist sicher. \n\nAuf und ab ist explosiv!
Researcher'sWill,Der Wille des Forschers
ResearcherWillTip_title,Der Wille des Forschers
ResearcherWillTip,"Ein Brief liegt drinne.\n3. Juni 1998\nMeine liebste Alma,\n\nLass mich zunächst um Entschuldigung bitten, dass ich dich nicht anrufen konnte. Ein Mann mit Sonnenbrille ließ keine Telefonanrufe zu. Entschuldige, Alma.\n\nHier sitze ich und versuche zu überlegen, wo ich anfangen soll, wie ich in wenigen einfachen Worten alles erklären kann, was seit unserem letzten Gespräch in meinem Leben passiert ist, und scheitere bereits. Ich hoffe, dieser Brief erreicht dich wohlauf, und dass du die Abschweifungen meines Stiftes verzeihst; das fällt mir nicht leicht.\n\nSelbst während ich schreibe, spüre ich, wie die einfachsten Konzepte entgleiten, verloren in Gefühlen von Verzweiflung und Verwirrung - aber ich muss dir sagen, was in meinem Herzen ist, bevor ich ruhen kann. Alma, bitte glaube, dass das, was ich dir erzähle, die Wahrheit ist. Die ganze Geschichte würde Stunden dauern, um sie dir zu erzählen, und die Zeit ist knapp, also nimm diese Dinge als Tatsache hin: Letzten Monat gab es einen Unfall im Labor und das Virus, das wir untersuchten, ist ausgetreten.\n\nAlle meine Kollegen, die infiziert wurden, sind tot oder sterben, und die Natur der Krankheit ist so, dass die noch Lebenden ihren Verstand verloren haben. Dieses Virus beraubt seine Opfer ihrer Menschlichkeit, zwingt sie in ihrer Krankheit dazu, Leben zu suchen und zu zerstören. Während ich diese Worte schreibe, kann ich sie hören, die gegen meine Tür drücken wie geistlose, hungrige Tiere.\n\nAlma, ich habe versucht zu überleben, nur um dich wiederzusehen. Aber meine Bemühungen haben nur das Unvermeidliche verzögert; ich bin infiziert, und es gibt keine Heilung für das, was folgt - außer mein Leben zu beenden, bevor ich das einzige verliere, was mich von ihnen unterscheidet.\n\nMeine Liebe zu dir.\n\nIn einer Stunde werde ich meinen ewigen Schlaf betreten, wo Frieden herrscht. Bitte verstehe. Bitte wisse, dass es mir leid tut.\nMartin Crackhorn"
Trevor'sDiary,Trevor's Der Wille des Forschers 1
TrevorDiaryTip_title,Trevor's Tagebuch 1
TrevorDiaryTip,"24. Nov, 1967\nElf Tage sind vergangen, seit ich auf diesem Anwesen angekommen bin. Wie bin ich nur in diese Lage geraten? Ein Mann in einem Laborkittel brachte mir einen Teller mit magerer Kost und sagte zu mir, 'Es tut mir leid, dass wir dich das hier durchmachen lassen müssen, aber es ist aus Sicherheitsgründen.' Da wurde mir klar, was hier vor sich geht. Jetzt ergibt alles einen Sinn. Es gibt nur zwei Personen, die das Geheimnis dieses Anwesens kennen, Herr Spencer und ich. Falls sie mich umbringen, wird nur Herr Spencer das Geheimnis kennen. Aber zu welchem Zweck? Das ist jetzt unwichtig. Es ist hier zu gefährlich. Meine Familie... Ich hoffe, es geht ihnen gut. Ich habe beschlossen zu fliehen... Jessica, Lisa, ich bete dafür, dass ihr sicher seid.\n\n25. Nov, 1967\nWie konnte ich nur so unachtsam sein? Ich habe mein Lieblingsfeuerzeug verloren - das, was Jessica mir zum Geburtstag geschenkt hat. Jetzt wird es noch schwieriger, aus diesem dunklen Ort herauszukommen.\nDer 13. Nov, das Datum, an dem mein Schicksal besiegelt wurde. Meine Tante wurde nur drei Tage zuvor ins Krankenhaus eingeliefert. Jessica und Lisa sagten, dass sie sie besuchen würden. Ich wünschte, ich könnte bei ihnen sein. Aber Moment mal, während ich das noch schreibe, kehrt meine Erinnerung immer lebhafter zurück. Kurz bevor ich ohnmächtig wurde, erinnere ich mich daran, dass die Männer in den Laborkitteln so etwas gesagt haben wie, 'Wahrscheinlich ist deine Familie schon...' Ich bete für ihre Sicherheit.\n\n27. Nov, 1967\nIrgendwie habe ich es geschafft, aus diesem Raum herauszukommen. Aber es wird nicht einfach sein, aus diesem Anwesen zu entkommen. Ich muss an all den Sprengfallen vorbei. Tigeraugen, Goldemblem... Ich muss versuchen, mich zu erinnern, um meinetwillen...."
Trevor'sDiary2,Trevor's Tagebuch 2
TrevorDiaryTip2_title,Trevor's Tagebuch 2
TrevorDiaryTip2,"29. Nov. 1967\nIch kann nicht raus. Ich habe alles versucht, um zu entkommen, aber ich wurde mit der Realität konfrontiert, dass ich gefangen bin. Ich war überall. Das Labor mit den großen Glasröhren, die mit Formaldehyd gefüllt sind, und diese dunklen, nassen und unheimlichen Höhlen... Was kann ich tun?\nZuerst wollte ich meinen Augen nicht trauen. Aber dieser vertraute Schaukelstuhl im Flur... Es war wie ein Reflex. Ein Name kam mir in den Sinn, Jessica!\nIch will nicht glauben, dass sie dasselbe Schicksal teilen wie ich. Nein! Ich kann die Hoffnung nicht aufgeben. Ich muss hoffen, dass sie am Leben sind.\n\n30. Nov. 1967\nIch habe in den letzten Tagen nichts gegessen oder getrunken. Ich fühle mich, als würde ich verrückt werden. Warum passiert mir das? Warum muss ich so sterben? Ich war zu besessen davon, dieses grässliche Herrenhaus zu vernichten. Ich hätte es besser wissen müssen.\n\n31. Nov. 1967\nEs war ein dunkler und feuchter unterirdischer Tunnel. Und wieder eine Sackgasse. Aber selbst in der Dunkelheit fiel mir etwas auf. Vorsichtig zündete ich das letzte Streichholz an, ich musste sehen, was es war. Ein Grab! Aber tief in den Stein eingraviert war mein Name! „George Trevor“. In diesem Moment wurde mir alles klar. Diese Bastarde wussten von Anfang an, dass ich hier sterben würde, und ich bin direkt in ihre Falle getappt. Aber jetzt ist es zu spät. Ich verliere die Kontrolle. Alles rückt so weit weg. Jessica... Lisa... Verzeiht mir. Wegen meines Egos habe ich euch beide in diese ganze verdammte Verschwörung verwickelt. Verzeiht mir. Möge Gott meinen Tod im Austausch für eure Sicherheit rechtfertigen.\n\nGeorge Trevor"
Trevor'sDiary3,Trevor's Tagebuch 3
TrevorDiaryTip3_title,Trevor's Tagebuch 3
TrevorDiaryTip3,"Da ist etwas Handgeschriebenes. Es ist nicht datiert.\n\nNichts hat sich geändert. Ich hätte nie gedacht, dass sich dieser Raum, den ich als Experiment entworfen habe, so auszahlen würde.\n\nIch kann mich hier für eine Weile sicher verstecken, denn niemand kennt das Geheimnis hinter diesem Gemälde. Nicht einmal Herr Spencer.\n\nGemälde eines Herrenhauses ... im hinteren Teil des Kunstraums."

BotanyBook,Botanikbuch
BotanyBookTip_title,Botanikbuch
BotanyBookTip,"Verwendung von Heilkräutern\n\nEs ist allgemein bekannt, dass es viele Pflanzen gibt, denen medizinische Heilkräfte zugeschrieben werden. Seit der Antike heilt die Menschheit Wunden und Krankheiten mit verschiedenen Pflanzen.\n\nIn diesem Buch werden wir drei Kräuter probieren, die in den Arklay Mountains heimisch sind, und ihre jeweiligen medizinischen Eigenschaften kurz beschreiben. Jedes Kraut hat eine eigene Farbe und eine eigene medizinische Qualität.\n\nDas grüne Kraut stellt die körperliche Kraft wieder her. Das blaue Kraut neutralisiert natürliche Giftstoffe. Das rote Kraut hat jedoch allein keine wirkliche Wirkung. Wir haben festgestellt, dass das Mischen von grünen und roten Kräutern eine verstärkte Wirkung hat.\n\nWir werden die Wirkung von roten Kräutern in Kombination mit anderen Kräutern beschreiben, wenn wir mehr Daten haben. In der Zwischenzeit können Sie gerne selbst experimentieren, denn wahres Wissen erlangt man am besten durch eigene Erfahrung."
BodyDisposal,[FF4F00]Körper Entsorgung[-]
BodyDisposalTip_title,[FF4F00]Körper Entsorgung[-]
BodyDisposalTip,"Besondere Anweisungen zum Entsorgen von Leichen.\n\nWir haben neue Informationen über diese 'Wesen'. Sie mögen wie tot erscheinen, können jedoch tatsächlich wieder zum Leben erwachen. Es gibt jedoch Möglichkeiten, sie daran zu hindern, erneut aktiv zu werden.\n\nDerzeit gibt es drei bekannte Methoden, um ihre Wiederbelebung zu stoppen.\n\n1. ZERSTÖRUNG DES KOPFES ([FF4F00]Todesursache[-])\n2. BEIN AMPUTIEREN ([FF4F00]Vor dem Tod[-] / [FF4F00]Todesursache[-])\n3. EINÄSCHERN ([FF4F00]Todesursache[-])\n\nSollten weitere Methoden entdeckt werden, werden sie umgehend mitgeteilt.\n\nIn der Zwischenzeit, für diejenigen von euch, die noch den Willen zum Überleben haben, wurde Kerosin im Herrenhaus und den umliegenden Gebieten platziert. Nimm so viel, wie du benötigst.\n\nDu wirst etwas zum Anzünden brauchen, was du selbst finden musst."
Keeper'sDiary,Wächter Tagebuch
KeeperDiaryTip_title,Wächter Tagebuch
KeeperDiaryTip,"9. Mai, 1998\nHabe heute Abend mit Scott und Alias von der Sicherheit sowie Steve aus der Forschung Poker gespielt. Steve war der große Gewinner, aber ich denke, er hat geschummelt. Schuft.\n\n10. Mai 1998\nEiner der Vorgesetzten hat mich beauftragt, mich um ein neues Wesen zu kümmern. Es sieht aus wie ein gehäuteter Gorilla. Die Fütterungsanweisungen besagten, dem Wesen lebende Tiere zu geben. Als ich ein Schwein hineinwarf, schien das Wesen damit zu spielen... indem es dem Schwein die Beine abriss und die Eingeweide herauszog, bevor es tatsächlich anfing zu fressen.\n\n11. Mai 1998\nUm etwa 5 Uhr morgens weckte mich Scott auf. Hatte mich auch ganz schön erschreckt. Er trug einen Schutzanzug. Er reichte mir einen weiteren Anzug und sagte mir, ich solle ihn anziehen. Er sagte, dass es im unteren Labor einen Unfall gegeben habe. Ich wusste einfach, dass so etwas passieren würde. Diese Schweine in der Forschung schlafen nie, nicht einmal an Feiertagen.\n\n12. Mai 1998\nIch trage diesen verdammten Raumanzug seit gestern. Meine Haut wird immer schmieriger und überall juckt es mich. Die verdammten Hunde haben mich komisch angeguckt, also entschied ich mich, sie heute nicht zu füttern. Es ist mir egal.\n\n13. Mai 1998\nGing ins Krankenhaus, weil mein Rücken geschwollen und juckend war. Sie legten einen großen Verband darauf und sagten mir, dass ich den Anzug nicht mehr tragen müsste. Alles, was ich jetzt möchte, ist schlafen.\n\n14. Mai 1998\nFand heute Morgen eine weitere große Blase an meinem Fuß. Ich schleppte mich bis zum Hundezwinger. Sie waren den ganzen Tag ruhig, was seltsam war. Dann wurde mir klar, dass einige von ihnen entkommen waren. Vielleicht ist das ihre Art, sich bei mir dafür zu rächen, dass ich sie die letzten drei Tage nicht gefüttert habe. Wenn jemand davon erfährt, werde ich Ärger bekommen.\n\n16. Mai 1998\nEs kursieren Gerüchte, dass ein Forscher, der versucht hat, gestern Nacht aus dem Anwesen zu fliehen, erschossen wurde. Mein ganzer Körper fühlt sich heiß und juckend an, und ich schwitze jetzt die ganze Zeit. Ich kratzte an der Schwellung an meinem Arm, und ein Stück faulendes Fleisch fiel einfach ab. Was zum Teufel passiert hier mit mir?\n\n19. Mai 1998\nDas Fieber ist weg, aber es juckt. Heute bin ich hungrig und esse Hundefutter.\n\n21. Mai 1998\n Juckt, es juckt. Scott hatte ein hässliches Gesicht, deshalb habe ich ihn getötet. Lecker. 4 / / Es juckt. Lecker."
ScrapBook,Fotoalbum
ScrapbookTip_title,Fotoalbum
ScrapbookTip,"RACCOON NEWS 27. MAI, 1998\nTIERANGRIFF? FRAU VERSTÜMMELT\n\nAm 20. Mai gegen 22 Uhr wurde der Körper einer 20-jährigen jungen Frau von einem Passanten am linken Ufer des Marble River im Cider District von Raccoon City gefunden. Die Polizei von Raccoon geht davon aus, dass es sich um das Werk eines Grizzlies oder eines anderen Tieres handelt, da Bisswunden an ihren verstümmelten Armen und dem linken Fuß darauf hinweisen, dass beträchtliche Kraft im Spiel war. Da sie einen Wanderschuh am verbleibenden Fuß trug, wurde festgestellt, dass sie in den Arklay Mountains angegriffen wurde und in den Fluss gefallen ist. Man bemüht sich um die Identifizierung dieser Frau.\n\n\nRACCOON NEWS 16. JUNI 1998\nMONSTER IN DEN ARKLAY MOUNTAINS?\n\nEinige behaupten, sie hätten Monster in den Arklay Mountains gesehen. Die Monster sollen etwa die Größe von großen Hunden haben und normalerweise in einer Rudelstruktur laufen, wie es Wölfe tun. Das mag sich wie eine Gruppe gewöhnlicher Wildhunde anhören, aber diese Monster sind erstaunlich wild und schwer zu verletzen. Man sagt, dass diese Hunde einen nicht belästigen, es sei denn, man weckt sie, also sollten kluge Leser vorerst die Arklay Mountains meiden. Aber wenn Sie auf der Suche nach Abenteuer sind, schauen Sie doch mal vorbei! Wollen Sie es versuchen?\n\n\nRACCOON NEWS 9. JULI 1998\nGEHEIMNIS IN DEN ARKLAY MOUNTAINS: BERGSSTRASSE GESPERRT\n\nAufgrund aufeinanderfolgender Katastrophen in den Arklay Mountains haben die Stadtbehörden beschlossen, die Straße zu den Hügeln zu sperren. Gleichzeitig plant die Polizei von Raccoon, die vermissten Personen mit Hilfe der S.T.A.R.S.-Teammitglieder zu suchen. Man erwartet große Schwierigkeiten aufgrund der enormen Größe der Arklay Mountains und des ursprünglichen Waldes, der die meiste Fläche bedeckt. Zudem berichten weiterhin Menschen von grotesken Monster-Sichtungen in den Bergen."
MailtotheChiefofSecurity,Mail an den Sicherheitschef
MailToTheChiefOfSecurityTip_title,Mail an den Sicherheitschef
MailToTheChiefOfSecurityTip,"VERTRAULICH\n\nAn: Sicherheitschef\n\nDatum: 22. Juli, 1998 2:13\n\nDer Tag X steht vor der Tür. Führen Sie die folgenden Schritte innerhalb einer Woche aus. Es sind sofortige Maßnahmen erforderlich.\n\nLocken Sie S.T.A.R.S zum Anwesen und beschaffen Sie sich die Rohdaten von B.O.W's Kampf gegen S.T.A.R.S.\n\nSammeln Sie als Proben zwei Embryonen jedes mutierten Exemplars, mit Ausnahme des Tyrann. Beseitigen Sie den Tyrann.\n\nStellen Sie die vollständige Entsorgung des Arklay-Labors einschließlich aller Mitarbeiter und Versuchstiere sicher. Lassen Sie ihren Tod als Unfall aussehen.
Wenn Sie die oben genannten Verfahren durchgeführt haben, melden Sie sich in der Zentrale, um weitere Anweisungen zu erhalten.\n\nWenn Sie aus irgendeinem Grund nicht in der Lage sind, das Verfahren fristgerecht durchzuführen, melden Sie sich sofort. In Notfällen melden Sie sich direkt bei der Durchwahl 5691.\n\nViel Glück.\nUmbrella Hauptquartier,\nUmbrella Inc."
Researcher'sLetter,Brief des Wissenschaftlers
ResearcherLetterTip_title,Brief des Wissenschaftlers
ResearcherLetterTip,"8. Juni 1998\nMeine liebste Ada.\n\nWenn Du diesen Brief liest, werde ich nicht mehr die Person sein, die Du einmal kanntest. Die Ergebnisse meines Tests sind heute rausgekommen und wie ich vermutet habe, waren sie positiv.\n\nIch habe das Gefühl, dass ich am Rande der Vernunft schwanke, wenn ich nur an mein bevorstehendes Schicksal denke. Ich würde alles dafür geben, nicht einer von ihnen zu werden.\n\nSoweit ich weiß, bist Du nicht infiziert. Ich hoffe aufrichtig, dass die Dinge nicht so verzweifelt werden, aber wenn sich herausstellen sollte, dass Du jetzt die letzte Person bist, die noch am Leben ist, möchte ich, dass Du das Material aus dem visuellen Datenraum holst.\n\nDann aktiviere das Selbstzerstörungssystem im Kraftwerk Raum und entkomme von hier. Bitte tu alles in Deiner Macht Stehende, um diesen ganzen Unfall öffentlich zu machen.\n\nWenn alles noch normal läuft, solltest Du in der Lage sein, alle Schlösser mit dem Sicherheitssystem zu öffnen.\n\nIch habe das Terminal im kleinen Sicherheitsraum so eingerichtet, dass Du dich mit meinem Namen und deinen Namen als Passwort in das System einloggen kannst.\n\nNur noch eine Sache … und das ist meine letzte Bitte. Ich hoffe, Du musst mich in diesem Zustand nie zu Gesicht bekommen, aber wenn Du mich in meiner abscheulichen Gestalt treffen solltest, bitte ich dich, mich von meinem Leid zu erlösen. Ich hoffe, Du verstehst das.\n\nDanke, Ada.\nHochachtungsvoll,\nJohn"
ObservationNote,Beobachtungsnotiz
ObservationNoteTip_title,Beobachtungsnotiz
ObservationNoteTip,"Die Entdeckung des G-Virus erfolgte 21 Jahre nach der Verabreichung des Vorläufervirus.\n\nDer 'Prototyp-Parasit', den wir von einem Labor in Frankreich erhalten haben, wurde dem Probanden verabreicht. Die Probe nahm den Parasiten auf, ohne irgendwelche Anzeichen einer unerwünschten Reaktion zu zeigen.\n\nDas Ausbleiben jeglicher Reaktion war ein ungelöstes Rätsel. Aber jetzt ist mir alles klar.\n\nDer „Prototyp-Parasit“ brütete 21 Jahre lang im Körper des Probanden. Dann mutierte der Prototyp plötzlich aus diesem Inkubationszustand heraus. ('Entwickelt' wäre vielleicht ein passenderes Wort.)\n\nDiese Beobachtung gab mir weitere Einblicke in meine Forschung. Durch weitere Modifikationen und Tests war ich in der Lage, eine Methode zur Erschaffung des 'G' abzuleiten, die die Leistung des 'T' übertrifft.\n\nDies war der Durchbruch, der die Zukunft der B.O.W.-Geschichte verändern würde.\n\nIch kann es kaum erwarten, den Ausdruck auf Alexias ärgerlichem Gesicht zu sehen, wenn ich endlich meine Forschung bekannt gebe. Aber leider werde ich noch ein paar Jahre warten müssen, um meine Ergebnisse vollständig zu verifizieren.\n\nWilliam Birkin"
SuicideNote,Abschiedsbrief
SuicideNoteTip_title,Abschiedsbrief
